1620673023.4336514 2021-05-10 11:57:03 198
1620673203.5877228 2021-05-10 12:00:03 212
1620673503.4307208 2021-05-10 12:05:03 212
1620673803.2051778 2021-05-10 12:10:03 210
1620674103.0975435 2021-05-10 12:15:03 210
1620674403.002333 2021-05-10 12:20:03 210
1620674702.8959413 2021-05-10 12:25:02 210
1620675002.8675132 2021-05-10 12:30:02 174
1620675303.7686172 2021-05-10 12:35:03 174
1620675603.5676088 2021-05-10 12:40:03 179
1620675903.5088212 2021-05-10 12:45:03 179
1620676203.3936605 2021-05-10 12:50:03 180
1620676508.5261374 2021-05-10 12:55:08 180
1620676803.4786143 2021-05-10 13:00:03 180
1620677103.3745453 2021-05-10 13:05:03 180
1620677403.2062035 2021-05-10 13:10:03 180
1620677703.009355 2021-05-10 13:15:03 180
1620678002.8944106 2021-05-10 13:20:02 184
1620678302.6900556 2021-05-10 13:25:02 184
1620678603.6366992 2021-05-10 13:30:03 184
1620678903.5169537 2021-05-10 13:35:03 184
1620679203.3329556 2021-05-10 13:40:03 184
1620679503.1677377 2021-05-10 13:45:03 184
1620679802.936669 2021-05-10 13:50:02 167
1620680102.748499 2021-05-10 13:55:02 167
1620680403.592639 2021-05-10 14:00:03 167
1620680703.5007634 2021-05-10 14:05:03 167
1620681003.272003 2021-05-10 14:10:03 151
1620681303.1046247 2021-05-10 14:15:03 151
1620681603.0354261 2021-05-10 14:20:03 139
1620681902.8674254 2021-05-10 14:25:02 139
1620682203.6896594 2021-05-10 14:30:03 139
1620682503.7589042 2021-05-10 14:35:03 139
1620682803.6400445 2021-05-10 14:40:03 154
1620683103.437549 2021-05-10 14:45:03 154
1620683403.6410706 2021-05-10 14:50:03 83
1620683703.4460979 2021-05-10 14:55:03 83
1620684003.2742467 2021-05-10 15:00:03 83
1620684303.1142333 2021-05-10 15:05:03 83
1620684602.9604344 2021-05-10 15:10:02 83
1620684902.9090075 2021-05-10 15:15:02 83
1620685202.9415128 2021-05-10 15:20:02 83
1620685502.7737942 2021-05-10 15:25:02 69
1620685803.6587796 2021-05-10 15:30:03 69
1620686103.5101893 2021-05-10 15:35:03 69
1620686403.859799 2021-05-10 15:40:03 69
1620686704.2042062 2021-05-10 15:45:04 69
1620687003.0401487 2021-05-10 15:50:03 69
1620687302.818853 2021-05-10 15:55:02 69
1620687603.743841 2021-05-10 16:00:03 69
1620687903.528431 2021-05-10 16:05:03 69
1620688203.4545262 2021-05-10 16:10:03 39
1620688503.323269 2021-05-10 16:15:03 39
1620688803.3605084 2021-05-10 16:20:03 67
1620689103.2188668 2021-05-10 16:25:03 67
1620689402.9906402 2021-05-10 16:30:02 67
1620689702.7670395 2021-05-10 16:35:02 67
1620690003.9252253 2021-05-10 16:40:03 67
1620690302.7765467 2021-05-10 16:45:02 67
1620690603.5584183 2021-05-10 16:50:03 62
1620690903.369152 2021-05-10 16:55:03 62
1620691203.29666 2021-05-10 17:00:03 66
1620691503.0718722 2021-05-10 17:05:03 66
1620691802.864474 2021-05-10 17:10:02 66
1620692103.6280363 2021-05-10 17:15:03 66
1620692403.5641887 2021-05-10 17:20:03 274
1620692703.3751736 2021-05-10 17:25:03 274
1620693003.4138377 2021-05-10 17:30:03 274
1620693303.512515 2021-05-10 17:35:03 274
1620693603.3148015 2021-05-10 17:40:03 251
1620693903.0849211 2021-05-10 17:45:03 251
1620694203.1060514 2021-05-10 17:50:03 2,579
1620694502.930488 2021-05-10 17:55:02 2,579
1620694802.836631 2021-05-10 18:00:02 2,579
1620695103.7549443 2021-05-10 18:05:03 2,579
1620695403.6192443 2021-05-10 18:10:03 2,582
1620695703.4759457 2021-05-10 18:15:03 2,582
1620696003.3431966 2021-05-10 18:20:03 410
1620696303.1447978 2021-05-10 18:25:03 410
1620696602.9968371 2021-05-10 18:30:02 410
1620696902.7696743 2021-05-10 18:35:02 410
1620697203.6339855 2021-05-10 18:40:03 453
1620697503.442146 2021-05-10 18:45:03 453
1620697803.7865677 2021-05-10 18:50:03 555
1620698104.4662466 2021-05-10 18:55:04 555
1620698404.266766 2021-05-10 19:00:04 555
1620698703.1106336 2021-05-10 19:05:03 555
1620699002.9384203 2021-05-10 19:10:02 644
1620699302.6892545 2021-05-10 19:15:02 644
1620699603.5487435 2021-05-10 19:20:03 699
1620699903.2824354 2021-05-10 19:25:03 699
1620700203.106241 2021-05-10 19:30:03 699
1620700502.8314185 2021-05-10 19:35:02 699
1620700803.7918499 2021-05-10 19:40:03 939
1620701103.5800724 2021-05-10 19:45:03 939
1620701403.5899131 2021-05-10 19:50:03 972
1620701703.322991 2021-05-10 19:55:03 972
1620702003.1779995 2021-05-10 20:00:03 972
1620702303.014935 2021-05-10 20:05:03 972
1620702602.886836 2021-05-10 20:10:02 1,167
1620702902.6492708 2021-05-10 20:15:02 1,167
1620703203.4485624 2021-05-10 20:20:03 1,144
1620703503.1853902 2021-05-10 20:25:03 1,144
1620703803.5123374 2021-05-10 20:30:03 1,144
1620704103.2765985 2021-05-10 20:35:03 1,144
